(1, 14, 10, '2023-06-03', 'Approved'),
(2, 14, 11, '2023-06-03', 'Approved'),
(3, 14, 12, '2023-06-03', 'Approved'),
(4, 14, 13, '2023-06-03', 'Approved'),
(5, 14, 14, '2023-06-03', 'Approved'),
(6, 14, 15, '2023-06-03', 'Approved'),
(7, 14, 16, '2023-06-03', 'Approved'),
(8, 14, 17, '2023-06-03', 'Approved'),
(9, 14, 18, '2023-06-03', 'Approved'),
(10, 14, 19, '2023-06-03', 'Approved'),
(11, 29, 10, '2023-06-03', 'Approved'),
(12, 29, 11, '2023-06-03', 'Approved'),
(13, 29, 12, '2023-06-03', 'Approved'),
(14, 29, 13, '2023-06-03', 'Approved'),
(15, 29, 14, '2023-06-03', 'Approved'),
(16, 29, 15, '2023-06-03', 'Approved'),
(17, 29, 16, '2023-06-03', 'Approved'),
(18, 29, 17, '2023-06-03', 'Approved'),
(19, 29, 18, '2023-06-03', 'Approved'),
(20, 29, 19, '2023-06-03', 'Approved'),
(21, 32, 20, '2023-06-03', 'Approved'),
(22, 32, 21, '2023-06-03', 'Approved'),
(23, 32, 22, '2023-06-03', 'Approved'),
(24, 32, 23, '2023-06-03', 'Approved'),
(25, 32, 24, '2023-06-03', 'Approved'),
(26, 35, 20, '2023-06-03', 'Approved'),
(27, 35, 21, '2023-06-03', 'Approved'),
(28, 35, 22, '2023-06-03', 'Approved'),
(29, 35, 23, '2023-06-03', 'Approved'),
(30, 35, 24, '2023-06-03', 'Approved'),
(31, 32, 351, '2023-06-03', 'Approved'),
(32, 32, 352, '2023-06-03', 'Approved'),
(33, 32, 353, '2023-06-03', 'Approved'),
(34, 32, 354, '2023-06-03', 'Approved'),
(35, 32, 355, '2023-06-03', 'Approved'),
(36, 35, 356, '2023-06-03', 'Approved'),
(37, 35, 357, '2023-06-03', 'Approved'),
(38, 35, 358, '2023-06-03', 'Approved'),
(39, 35, 359, '2023-06-03', 'Approved'),
(40, 35, 360, '2023-06-03', 'Approved'),
